,master_recipe_id,id,name,edition_year,ingredient_id_0,recipe_ingredient_type_0,measurement_id_0,amount_0,ingredient_id_1,recipe_ingredient_type_1,measurement_id_1,amount_1,ingredient_id_2,recipe_ingredient_type_2,measurement_id_2,amount_2,ingredient_id_3,recipe_ingredient_type_3,measurement_id_3,amount_3,ingredient_id_4,recipe_ingredient_type_4,measurement_id_4,amount_4,ingredient_id_5,recipe_ingredient_type_5,measurement_id_5,amount_5,ingredient_id_6,recipe_ingredient_type_6,measurement_id_6,amount_6,ingredient_id_7,recipe_ingredient_type_7,measurement_id_7,amount_7,ingredient_id_8,recipe_ingredient_type_8,measurement_id_8,amount_8,ingredient_id_9,recipe_ingredient_type_9,measurement_id_9,amount_9,ingredient_id_10,recipe_ingredient_type_10,measurement_id_10,amount_10,ingredient_id_11,recipe_ingredient_type_11,measurement_id_11,amount_11,ingredient_id_12,recipe_ingredient_type_12,measurement_id_12,amount_12,ingredient_id_13,recipe_ingredient_type_13,measurement_id_13,amount_13,ingredient_replacement_suggestions,instructions,glass_id,notes,year_introduced
0,1.0,1,Whiskey Cocktail,2012,1.0,Main,1.0,1,2.0,Main,2.0,2,3.0,Main,2.0,3-4,4.0,Main,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fill one-third full of fine ice; shake and strain in a fancy red-wine glass,34,"*Bourbon, Blended, Rye or Canadian.",1935
1,4.0,4,Martinez Cocktail,2012,11.0,Main,2.0,1,12.0,Main,2.0,2,13.0,Main,6.0,1,14.0,Main,1.0,1,15.0,Main,8.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This strong but balanced cocktail calls for a gin with fresh floral aromatics along, and light sweetness to balance the vermouth. Sunset Hill's blend of cucumber, juniper, and rose make it an excellent choice for the Martinez.","Shake up thoroughly, and strain into a large cocktail glass. Put a
quarter of a slice of lemon in the glass and serve. If the guest prefers
it very sweet, add two dashes of gum syrup.",44,"The Martinez is a tricky cocktail to pin down. Even in its earliest mention in 1884, the author provides not one, but two different recipes for this tasty tipple. Although many people consider it to be the missing evolutionary link between the Manhattan and the Martini, lots of people don't even know it exists. So what keeps the Martinez going? A lot actually. First of all, the Martinez is actually the predecessor to the Martini, which is widely considered the greatest cocktail ever to be poured. The Martinez plays to a much older style though. Where the Martini is dry and crisp, the Martinez is lush and round with rich spice notes to balance everything out. Like many truly classic cocktails, everyone likes to drink their Martinez a specific way, so feel free to play around until you find yours.",1935
2,5.0,5,Traditional Martini (Sweet),2012,16.0,Main,4.0,1,9.0,Main,4.0,1,17.0,Main,2.0,1,18.0,Garnish,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,44,"From this we can see that the Martini, containing just gin, sweet
vermouth, and bitters, was really a gin version of the Manhattan. And like the Manhattan, when ordered normally it would be made with sweet
vermouth, and when ordered ""dry"" with dry (French) vermouth.",1988
3,6.0,6,Traditional Martini (Dry),2012,16.0,Main,4.0,1,19.0,Main,4.0,1,17.0,Main,2.0,1,18.0,Garnish,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"It's hand crafted, and small batch quality, paired with its bright citrus flavor and rich botanical aromatics make Sunset Hill's Small Batch gin an excellent choice for the ultimate gin classic; the Martini.",Stir with ice and strain into chilled cocktail glass. Add lemon twist.,44,"From this we can see that the Martini, containing just gin, sweet
vermouth, and bitters, was really a gin version of the Manhattan. And like
the Manhattan, when ordered normally it would be made with sweet
vermouth, and when ordered ""dry"" with dry (French) vermouth.",2012
4,7.0,7,Margarita,2012,25.0,Main,4.0,1 1/2,26.0,Main,4.0,3/4,24.0,Main,4.0,3/4,27.0,For the Glass,0.0,3/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monte Alban Silver is an excellent choice of tequila in a margarita, as its fruity, floral aromas pair perfectly with the bright citrus. Its creamy finish gives this sour cocktail balance and body.","Rim chilled cocktail glass with lime and salt. Shake remaining
ingredients with ice and strain into glass.",44,"The origins of the Margarita are positively shrouded in mystery. The stories laying claim to its creation are as numerous and as colorful as the spectrum of Margarita variations floating around bars today. In many of those stories the drink is named after a woman. In 1945, Jose Cuervo, began running an ad campaign with the slogan, “Margarita: It's more than just a girl's name.” The campaign was a huge success, and the Margarita went on to become one of America's favorite cocktails. The Margarita is a derivative of a family of drinks called Daisies, and in one story, a bartender creates the Margarita accidentally by mistakenly grabbing a bottle of tequila while preparing a Brandy Daisy. According to legend, the customer was delighted with the result, and spread the news far and wide. The bartender decided to call his drink a “Margarita” which is Spanish for “Daisy”.",1960
5,8.0,8,Daiquiri,2012,23.0,Main,4.0,2,24.0,Main,4.0,3/4,5.0,Main,4.0,3/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The daiquiri is one of the original ""sour' cocktails, which is a combination of spirit, sugar, and juice. Because there are so few ingredients, quality and balance are key. Calypso white rum has a light, sweet sugar can flavor, that supports the other ingredients, and balances nicely to create a simply delicious classic.",Shake with ice and strain into a chilled cocktail glass.,44,"Cuba holds a special place in history for many reasons—among them, the Daiquiri. In the small town of Daïquiri in 1898, Jennings Stockton Cox, an American engineer, led one of the earliest efforts to exploit Cuba's iron-ore mines. As recompense for leaving his secure position in the US, Cox was given generous wages and a ration of Bacardí Carta Blanca. According to legend, Cox was running low on gin one evening while entertaining guests, so he mixed up a punch with limes, sugar, and rum. Cox and his team took to drinking this new concoction and dubbed it the Daiquiri in honor of the city where they lived. The recipe eventually made its way back to the States and became a mainstay for cocktail bars. Bartender's note: for a truly authentic Daiquiri, use Bacardí Superior, which is made using the same recipe and yeast strain as Bacardí Carta Blanca.",1957
6,9.0,9,Sidecar,2012,20.0,Main,4.0,1,21.0,Main,4.0,1,22.0,Main,4.0,1/2,22.0,Main,4.0,1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meukow's rich aromas of baked spices and fruit combined with its round medium body are the perfect pairing for the classic Sidecar. It's dry-yet fruity flavor bond with the sweet citrus to create a deliciously balanced cocktail with a warm spicy finish.,Shake with ice and strain into a chilled cocktail glass.,44,"Supposedly the Sidecar originated at the Ritz Hotel in Paris sometime in the early 20th century. Recipes began appearing in multiple publications in the year 1922. Widely considered to be one of the best cocktails of all time, the Sidecar is a very delicate balance of sweet and sour against the earthy backdrop that brandy provides. Recently, some bartenders have even begun making Bourbon Sidecars by substituting bourbon for the brandy. There are generally two different schools of thought when it comes to proportions in the Sidecar. The French school leans toward all three parts in equal amounts, while the English school calls for twice the amount of brandy. Both are fine, but the former tends to hide a lot of the brandy's flavor nuances. Therefore, we'll stick with the Brits on this one.",1935
7,11.0,625,Mai-Tai (Trader Vic Version),2012,34.0,Main,4.0,2,35.0,Main,4.0,1/2,439.0,Main,4.0,1,36.0,Main,4.0,1/2,440.0,Main,4.0,1/4,441.0,Garnish,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shake ingredients without ice. Strain into ice-filled old-fashioned
glass. Garnish with lime shell, mint, and skewered pineapple and
cherry.",27,"The Mai-Tai is a bit of a drama queen, to be honest. The first one was created in 1933 by Don the Beachcomber at his restaurant in Hollywood. Eleven years later Victor J. Bergeron created a different drink by the same name at his eponymous California restaurant, Trader Vic's. For the sake of time, we'll spare you all the details. Just know that both men claimed to have created this cocktail. According to legend, the first person to taste Trader Vic's version cried out “Maita'i roa ae!” which translates roughly to “Out of this world! The best!” or something along those lines. Don't worry though, you don't need to speak Tahitian to enjoy it. The Mai-Tai has been butchered over the years, and many bars will serve you something neon with an umbrella if you order one. A true Mai-Tai is rich, amber, and rum-heavy—tiki style at its finest.",1964
8,13.0,13,Accoutrement,2012,44.0,Main,4.0,1 1/2,45.0,Main,4.0,1/2,46.0,Main,4.0,1/4,22.0,Main,4.0,1/2,47.0,Main,2.0,2,48.0,Garnish,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shake with ice and strain into chilled cocktail glass. Add cherry.,44,,2012
9,14.0,14,"The ""23""",2012,49.0,Garnish,0.0,1,50.0,Main,4.0,2 1/2,9.0,Main,4.0,1/2,22.0,Main,4.0,1/2,6.0,Main,2.0,2,18.0,Garnish,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"World famous Peychaud’s Bitters were created by Antoine Amedie Peychaud in New Orleans in the early 1800s.  It is a proprietary recipe that includes several different herbs and spices.  The Peychaud’s flavor profile is a zesty blend of anise, nutmeg and clove notes with a slightly sweet, floral taste.","Rim chilled cocktail glass with lemon and sugar. Shake remaining
ingredients with ice and strain into glass. Add lemon twist.",44,,2012
