,id,name,capacity,notes
0,44,Cocktail Glass,6 or more ounces,"This iconic glass with its V-shape and long stem  didn’t begin its career as a Cocktail glass at all, but rather for wine, punches, and later champagne. After Repeal came in 1933, the glass’s clean, geometrical lines fit the taste of the times and was used more and more until it drove out all other styles of cocktail glass. By the 1950s it meant “Martini,” the dominant cocktail of the day."
1,27,Old-Fashioned Glass,6 to 8 ounces,"The classic, single Old-Fashioned glass is the modern descendant of what was known in the mid-nineteenth century as the “small bar glass.” Heavy-bottomed and slant-sided, it held 5 to 6 ounces and was used both for mixing and for serving cocktails and other short drinks."
2,35,Sherry Glass,4 to 6 ounces,
3,21,Highball Glass,7 to 10 ounces,"When Americans started drinking Scotch whisky with soda and ice in the early 1890s, they didn’t invent a glass for it. Bartenders reached for the glass they were used to pouring soda into, the Fizz glass. Tall and narrow (so the bubbles would last), it held from 7 to 10 ounces—enough for a jigger of booze, a couple of ice cubes and a healthy squirt of soda, but not so big that the soda would drown the booze. Eventually, as Fizzes fell out of favor, the Highball hijacked the glass. "
4,3,Champagne Flute,6 to 8 ounces,"The champagne flute began its long career in Venice, at the end of the 1500s. A tall, slender, stemmed 6- to 8-ounce glass with gently incurving sides (nowadays, anyway; the original ones had a tight, tall v-shape), the champagne flute is excellent at displaying and preserving the wine’s bubbles. It’s less good, however, at opening up the wine’s aromas, and these days serious champagne aficionados are passing it over in favor of a variation of the tulip-style white wine glass."
5,33,Pousse-Café Glass, 1 ½  ounces,"By the end of the 19th century the Pousse Café had its own glass: still stemmed, but with the V of the sherry glass greatly tightened so that the glass wouldn’t hold more than 1 ounce—sufficient for a drink where the ingredients were measured in barspoons. The result is a small, narrow glass that perfectly shows off the layers of liqueur. The capacity varies, but the standard size is generally 1 ½ ounce."
6,13,Collins Glass,14 to 16 ounces,"The (genever-based) John Collins and the (gin-based) Tom Collins were among the hit drinks of the 1870s, and before long they had their own dedicated glassware: the “John or Tom Collins” glass is among the many types listed as essential for a bar to stock in Harry Johnson’s 1882 Bartenders’s Manual. Tall, narrow and straight-sided, the Collins glass is nothing more than a large Fizz or Highball glass -- the Collins was traditionally constructed on a rather more generous plan than those, and it’s dedicated glass usually holds 14 to 16 ounces."
7,31,Irish Coffee Glass,8 to 9 ounces,"Irish Coffee was introduced to America in the early 1950s. By 1958, it was so popular that it had its own dedicated glass. It is a version of the Sour glass with a little extra flare at the rim and a little ring-handle molded onto its side so you can hold it without burning your fingers. The standard size is 8 ½ ounces. "
8,38,Champagne Coupe,3 to 8 ounces,"The champagne coupe is, if anything, older than the flute. As a glass for champagne, it certainly dates back to the 1600s and was the dominant champagne glass well into the 20th century. Its wide, shallow bowl is terrible at retaining carbonation and its incurved sides do little to concentrate the wine’s aroma, but they are excellent at keeping the liquid within from sloshing out. It is found in a variety of sizes, from 3 ounces to 7 or 8 ounces. The most common sizes in bar use are around the 5-ounce mark."
9,26,Punch Cup,3 to 4 ounces,"The Punch cup has changed little since the 1840s when it was first popularized. It is a 3 to 4-ounce cut- or molded-glass cup with a little ring handle.  The handle, which gave the glass its nickname, “knuckle-trap,” helped to keep hot Punch hot and cold Punch cold. "
