,id,name,is_base,ingredient_category_id,parent_id,notes
0,2067,Old Mr. Boston Dry Gin,0,15.0,,
1,2050,French Vermouth,0,17.0,14.0,
2,2071,Old Mr. Boston Apricot Nectar,0,,0.0,
3,2093,Cointreau,0,,0.0,
4,2052,Orange Juice,0,19.0,0.0,
5,2048,Bitters,1,14.0,0.0,
6,2069,Maraschino Cherry,0,13.0,0.0,
7,242,Absinthe,1,15.0,,
8,510,Water,1,,,
9,3,Gum Syrup,1,,,
10,708,Sugar,1,,,
11,2068,"Syrup of Anisette, double quantity of water.",0,,0.0,
12,2070,Syrup,0,,0.0,
13,2051,Italian Vermouth,0,17.0,14.0,
14,17,Orange Bitters,1,,,
15,101,Dry Sherry,1,,,
16,613,Scotch Whiskey,0,15.0,182.0,
17,702,Curacao,1,17.0,0.0,
18,761,Lemon Juice,0,,506.0,
19,506,Lemon,1,,,
20,2054,Powdered Sugar,0,11.0,0.0,
21,274,Fresh mint sprigs,0,,89.0,
22,60,Soda water,1,,,
23,104,Yellow Chartreuse,1,,,
24,172,Raspberry Syrup,1,,,
25,2072,Connoisseur Crème de Cacao,0,17.0,334.0,
26,2073,Sweet Cream,0,,,
27,2074,Fresh Cream,0,,0.0,
28,2075,Cream,0,,0.0,
29,2076,Cream de Menthe,0,,0.0,
30,15,Ice,1,,,
31,496,Champagne,1,,,
32,12,Maraschino,1,,,
33,2077,Russian Kummel,0,,0.0,
34,2078,Amer Picon,0,,0.0,
35,54,Grenadine,1,,,
36,2079,Crème de Yvette,0,,,
37,108,Dubonnet,1,,,
38,1,Whiskey,1,,,
39,2080,Old Mr. Boston Whiskey,0,15.0,0.0,
40,116,Egg White,0,,302.0,
41,28,17-year-old J. Wray and Nephew Ltd. Rum,0,15.0,23.0,
42,2083,Baked Apple,0,,0.0,
43,133,Applejack,1,,,
44,2081,Carbonated Water or Ginger Ale,0,,0.0,
45,4,Lemon Peel,0,,506.0,
46,2082,Carbonated Water,0,,0.0,
47,118,Pineapple Juice,1,,,
48,250,Green crème de menthe,1,,,
49,2084,Bacardi Rum,0,15.0,0.0,
50,2104,Juice of a Lime,0,,,
51,146,Dark rum,1,,,
52,288,Coconut liqueur,1,,,
53,2262,151 Proof Rum,0,15.0,0.0,
54,289,Coffee liqueur,1,,,
55,2103,Juice of a Lemon,0,,,
56,75,Anisette,1,17.0,,
57,302,Egg,1,,,
58,117,Jamaica Rum,1,15.0,,
59,2085,Madeira Wine,0,,0.0,
